col_1,col_2,act
acknowledgement,145,ack()
feedback_person_recommendation_1st_time_yes,95,glad()
request(send_msg_tlink),83,request(send_msg_tlink)
outcome_person_recommendation_1st_time,75,inform(info)
feedback_session_recommendation_2nd_time_no,69,sorry()
do_selfie,62,take_selfie()
ready_selfie,62,take_selfie()
farewell,60,bye()
do_attendance_elicitation,59,request(first_time)
greeting,59,greeting()
finish_selfie,57,take_selfie()
feedback_interest_elicitation_session_recommendation,55,give_feedback()
elicit_feedback_person_recommendation_1st_time,53,request(feedback)
feedback_goal_elicitation,53,give_feedback()
pleasure_coming_together,53,greeting()
do_person_recommendation_1st_time,52,request(goal)
start_goal_elicitation,51,request(primary_goal)
do_interest_elicitation_session_recommendation,49,request(interest)
introduce,47,introduce()
pre_closing,46,request(anything_else)
bye,44,bye()
elicit_feedback_session_recommendation_1st_time,44,request(feedback)
start_person_recommendation_1st_time,40,request(goal)
do_session_recommendation_1st_time,39,request(goal)
selfiebusy,39,request(selfie)
takecare,39,bye()
request(selfie),35,request(selfie)
feedback_session_recommendation_1st_time_yes,32,glad()
do_goal_elicitation,31,request(primary_goal)
feedback_attendance_elicitation_not_first,31,give_feedback()
feedback_attendance_elicitation_first,27,give_feedback()
start_person_recommendation_2nd_time_if_prior_feedback_yes,26,request(another_reco)
other(),25,other()
start_session_recommendation_1st_time,24,request(goal)
do_person_recommendation_2nd_time,23,request(another_reco)
launch_food_recommendation,23,request(goal)
do_food_recommendation,22,request(goal)
outcome_session_recommendation_3rd_time,22,inform(info)
launch_person_recommendation,21,request(goal)
outcome_session_recommendation_1st_time,21,inform(info)
start_session_recommendation_2nd_time_if_prior_feedback_yes,21,request(another_reco)
end_session_recommendation_1st_time_yes,20,send_msg()
request(feedback),20,request(feedback)
launch_session_recommendation,19,request(goal)
elicit_feedback_food_recommendation,18,request(feedback)
moodresponse,18,you()
feedback_session_recommendation_2nd_time_yes,16,glad()
inform(info),16,inform(info)
request(another_reco),15,request(another_reco)
out_of_domain,14,other()
outcome_food_recommendation,14,inform(info)
outcome_session_recommendation_2nd_time,14,inform(info)
end_person_recommendation_2nd_time,13,request(send_msg_tlink)
feedback_food_recommendation_yes,13,glad()
matchmaker,13,introduce()
send_msg(),13,send_msg()
tired,13,tired()
end_person_recommendation_1st_time_no,12,no_worries()
greeting(),12,greeting()
quick_response_recovery,11,other()
end_person_recommendation_1st_time_yes,10,send_msg()
feedback_person_recommendation_2nd_time_yes,10,glad()
request(interest),10,request(interest)
thank,10,thank()
do_session_recommendation_2nd_time,9,do()
elicit_feedback_session_recommendation_2nd_time,9,request(feedback)
end_session_recommendation_1st_time,9,request(send_msg_tlink)
outcome_person_recommendation_2nd_time,9,inform(info)
overwhelmed,9,tired()
pleasuretomeet,9,greeting()
start_attendance_elicitation,9,request(first_time)
start_session_recommendation_2nd_time_if_prior_feedback_no,9,request(another_reco)
end_person_recommendation_1st_time_no_extra_time,8,request(send_msg_tlink)
interests,8,request(interest)
start_interest_elicitation_session_recommendation,8,request(interest)
end_person_recommendation_2nd_time_yes,7,send_msg()
introduceself,7,introduce()
do_session_recommendation_3rd_time,6,do()
end_person_recommendation_1st_time,6,request(send_msg_tlink)
feedback_start_person_recommendation_2nd_time_yes,6,give_feedback()
start_food_recommendation,6,request(goal)
start_person_recommendation_2nd_time_if_prior_feedback_no,6,request(another_reco)
ask_selfie,5,request(selfie)
elicit_feedback_party_recommendation,5,request(feedback)
end_session_recommendation_2nd_time_yes,5,send_msg()
feedback_session_recommendation_1st_time_no,5,sorry()
firstthings,5,request(interest)
introduce(),5,introduce()
request(goal),5,request(goal)
unsure,5,other()
bye(),4,bye()
do_party_recommendation_Tuesday,4,do()
elicit_feedback_person_recommendation_2nd_time,4,request(feedback)
end_session_recommendation_2nd_time,4,request(send_msg_tlink)
feedback_goal_not_identified,4,request(primary_goal)
Not found,4,send_msg()
party2,4,inform(info)
start_person_recommendation_3rd_time_if_prior_feedback_yes,4,request(another_reco)
end_session_recommendation_1st_time_no,3,no_worries()
feedback_person_recommendation_1st_time_no,3,sorry()
feedback_person_recommendation_2nd_time_no,3,sorry()
feedback_person_recommendation_3rd_time_yes,3,glad()
feedback_session_recommendation_3rd_time_no,3,sorry()
feedback_start_person_recommendation_3rd_time_yes,3,give_feedback()
havefun,3,other()
howsgoing,3,greeting()
ifbody,3,other()
knowthem,3,request(feedback)
launch_party_recommendation,3,request(goal)
outcome_person_recommendation_3rd_time,3,inform(info)
reason_recommendation,3,other()
request(primary_goal),3,request(primary_goal)
secret,3,other()
sogood,3,other()
start_session_recommendation_3rd_time_if_prior_feedback_no,3,request(another_reco)
work,3,request(interest)
elicit_feedback_davos_recommendation,2,request(feedback)
end_person_recommendation_2nd_time_no,2,no_worries()
end_session_recommendation_3rd_time,2,request(send_msg_tlink)
end_session_recommendation_3rd_time_no,2,no_worries()
feedback_interest_elicitation_session_recommendation_alternate_job,2,give_feedback()
give_feedback(),2,give_feedback()
hobby,2,other()
intromessage,2,request(send_msg_tlink)
lunch,2,inform(info)
nopress,2,no_worries()
onitsway,2,other()
request(anything_else),2,request(anything_else)
searchbrain,2,other()
soundgood,2,other()
start_interest_elicitation_person_recommendation,2,request(interest)
start_interest_elicitation_session_recommendation_return_visitor,2,request(interest)
take_selfie(),2,take_selfie()
task_inability_session,2,other()
tired(),2,tired()
transition,2,other()
whatsay,2,request(feedback)
adventureifknow,1,do()
allday,1,other()
ask_met_before,1,request(met_before)
do_person_recommendation_3rd_time,1,do()
elicit_feedback_person_recommendation_3rd_time,1,request(feedback)
elicit_feedback_session_recommendation_3rd_time,1,request(feedback)
end_session_recommendation_3rd_time_yes,1,send_msg()
happily,1,other()
howabout,1,request(feedback)
introducenew,1,request(send_msg_tlink)
introduct(),1,introduce()
lipssealed,1,other()
messagecontent,1,inform(info)
No found,1,other()
request(first_time),1,request(first_time)
sara_how_old,1,other()
sara_where_from,1,other()
seshemail,1,request(send_msg_tlink)
start_party_recommendation,1,request(goal)
start_session_recommendation_3rd_time_if_prior_feedback_yes,1,request(another_reco)